top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    811 avahi     20   0    8828   1500   1112 S   0.0   0.0   0:09.27 avahi-daemon
    290 root      20   0   24808   1468    932 S   0.0   0.0   0:12.03 systemd-udevd
   1946 art       20   0  248448   1436    820 S   0.0   0.0   0:00.10 gsd-print-notif
   2047 art       20   0  342180   1416    968 S   0.0   0.0   0:00.16 gsd-printer
    816 root      20   0   28784   1376    796 S   0.0   0.0   0:00.07 cupsd
    943 root      20   0  176700   1356    684 S   0.0   0.0   0:01.06 cups-browsed
    812 root      20   0    8360   1300    968 S   0.0   0.0   0:00.05 bluetoothd
 194650 art       20   0    8300   1296   1044 S   0.0   0.0   0:00.00 zoom
 200516 art       20   0   32.0g   1288   1040 S   0.0   0.0   0:00.00 chrome_crashpad
   1644 art       20   0  235700   1228    736 S   0.0   0.0   0:00.19 gvfs-mtp-volume
 159340 art       20   0   11492   1204    604 S   0.0   0.0   0:00.50 bash
    955 root      20   0  239716   1156    456 S   0.0   0.0   0:00.11 gdm3
    884 root      20   0   14292   1120    192 S   0.0   0.0   0:03.55 wpa_supplicant
   1620 art       20   0  235876   1120    692 S   0.0   0.0   0:00.09 gvfs-goa-volume
   1423 whoopsie  20   0  327788   1104    360 S   0.0   0.0   0:01.41 whoopsie
 219807 art       20   0    9348   1084    940 T   0.0   0.0   0:00.00 g++
   1772 art       20   0  305424   1044    916 S   0.0   0.0   0:00.03 at-spi-bus-laun
   1592 art       20   0  239828   1040    480 S   0.0   0.0   0:00.33 gvfsd
   6037 art       20   0  315528   1032      0 S   0.0   0.0   0:00.26 gvfsd-recent
   1866 art       20   0  581892    996      0 S   0.0   0.0   0:00.41 gnome-shell-cal
   1938 art       20   0  374220    992    660 S   0.0   0.0   0:00.09 gsd-datetime
   1958 art       20   0  384968    956    516 S   0.0   0.0   0:00.12 gsd-usb-protect
 159273 root      20   0  492624    936    188 S   0.0   0.0   0:00.75 xdg-desktop-por
    808 root      20   0  238608    920    232 S   0.0   0.0   0:05.94 accounts-daemon
   1875 art       20   0 1071032    916      0 S   0.0   0.0   0:00.65 evolution-sourc
  16927 art       20   0   32.6g    868    152 S   0.0   0.0   0:14.44 chrome
   1658 art       20   0  164016    808    808 S   0.0   0.0   0:00.01 gdm-x-session
  43672 art       20   0  387836    784    308 S   0.0   0.0   0:00.44 gvfsd-network
    842 root      20   0   81928    736    560 S   0.0   0.0   0:16.72 irqbalance
   1638 art       20   0  316724    640    172 S   0.0   0.0   0:08.95 gvfs-afc-volume
  15775 art       20   0   32.3g    632      0 S   0.0   0.0   0:00.01 chrome
 222013 art       20   0    2492    616    548 S   0.0   0.0   0:00.00 time
   1940 art       20   0  311836    592    124 S   0.0   0.0   0:09.02 gsd-housekeepin
   1777 art       20   0    7856    568      0 S   0.0   0.0   0:04.27 dbus-daemon
   2065 art       20   0  162832    552      0 S   0.0   0.0   0:01.93 ibus-engine-sim
   1864 art       20   0  236084    544      0 S   0.0   0.0   0:00.05 xdg-permission-
    814 root      20   0    9636    524    352 S   0.0   0.0   0:00.43 cron
   1624 art       20   0  553904    524      0 S   0.0   0.0   0:00.96 goa-daemon
   1947 art       20   0  457100    520      0 S   0.0   0.0   0:00.90 gsd-rfkill
   1651 art       20   0  238108    500      0 S   0.0   0.0   0:00.19 gvfs-gphoto2-vo
   1850 art       20   0  236636    500      0 S   0.0   0.0   0:00.86 ibus-portal
   4636 art       20   0  162348    492      0 S   0.0   0.0   0:01.10 gvfsd-metadata
    809 root      20   0    2540    476    320 S   0.0   0.0   0:12.54 acpid
  43686 art       20   0  314984    476      0 S   0.0   0.0   0:00.32 gvfsd-dnssd
   2095 art       20   0  744252    452      0 S   0.0   0.0   0:01.04 xdg-document-po
    856 syslog    20   0  224540    436      0 S   0.0   0.0   0:04.14 rsyslogd
